ajeriarã cʉtire,"t J] v.t.pl. tener relaciones ajeriatũcuro ajirudire Eduria & Barasana – Español – 17 sexuales, copularse (con más de una persona). sing. ajer cʉt re, ajer o cʉt re V. ajere, wʉare."
ajeriatũcuro,"t õ J] s.v.inan. campo de fútbol, cancha de básquetbol."
ajerii cʉtire,"tener relaciones sexuales, copular (mujer con hombre)."
ajerio cʉtire,"tener relaciones sexuales, copularse (hombre con una mujer). pl. ajer arã cʉt re V. ajere, ajer cʉt re, wʉare. ajerio cʉtirere asibecʉ, ajerii cʉtirere"
masibeco,"t e m sĩ e o J] s.v.m., f. virgen (masculino, femenino)."
ajesejare E,ajejoore J v.i. acostumbrarse a jugar. V. ñaasejare.
"ajibecʉ, ajibeco","s.v.m., f. 1 sordo, sorda (persona que no escucha bien pero puede hablar); sordomudo, sordomuda (persona que no puede escuchar desde su nacimiento y por eso no aprende hablar). 2 persona que no pone atención, no hace caso."
ajibʉjare,"alcanzar a oír, entender por escuchar."
ajicodere,escuchar la conversación de otros.
ajicõĩare,"oír, escuchar y comparar."
ajijuare,"captar, entender."
ajijũnisini codere,"nĩ sĩn ĩ od J] v.t. enojarse al oír, escuchar una discusión entre otros."
ajimasire,"entender, comprender."
ajimoamire J,"ajitirʉ nʉre E, ajirʉ nʉre YM v.t. 1 creer, confiar. 2 obedecer, hacer caso. V. ajire, gotisere ajimoamibetire."
ajiquẽnore,"aclarar, quedarse claro (al escuchar algo)."
ajire,"1 oír, escuchar. 2 obedecer. 3 creer. V. ajimoamire, aj t rʉ nʉre, masire."
ajirooquẽnare,óó ẽ n ẽ J] v.t. poner atención en escuchar a. 18 dirección se dirigen los cafuches. V. ajire.
ajirudire,escuchar a escondidas.
ajiteere,"no poner atención, no querer escuchar."
ajitirʉ nʉre E,"ajimoamire J, ajirʉ nʉre YM v.t. 1 creer, confiar en. 2 obedecer, hacer caso."
ajiʉcare,"asustarse, sorprenderse al oír algo."
ajʉa ʉ,"osito hormiguero sedoso, oso hormiguero enano, tamandúa pequeña. Cyclopes didactylus."
apaʉ na J,a ʉ E.
apʉ E,"apaʉ na J n interj. ¡ah!, ¡oh!, ¡huy¡ (exclamación de sorpresa al ver muchas cosas o seres animados)."
apʉ cʉ e E,"ah!, ¡o!, ¡oh!, ¡huy¡ (exclamación de sorpresa al ver muchas cosas o seres animados). sinón. a ʉ."
aque,"aqui interj. ¡ah!, ¡oh!, ¡huy¡ (exclamación de sorpresa al ver una larga distancia o un tiempo largo)."
aque cʉ e qui E,"aque na qui J n interj. ¡ah!, ¡oh!, ¡huy¡ (exclamación de sorpresa al ver una larga distancia o un tiempo largo). sinón. aque, aqui. arua nasa"
aru,"garlitos, nasas (largas, tejidas en forma de embudo)."
arubʉ J,"bujubʉ E inan. cacurí (bras.), trampa de pescado (tejida de la cáscara de la palma bujuño). V. bujugasero, bujuño."
asibuure,calentarse.
asibuyase,"estar) caliente; calentado, calentada."
asicõari rijare,s ĩ J] v.i. tener escalofríos.
asijuare,"sudar (antes del aguacero). V. asise, ʉsaca uuse, ʉsaca ud se. asijʉ ore ayawa Eduria & Barasana – Español – 19"
asijʉ ore,secar (acción del calor del sol).
asiñaiore,"tostar (pescado, ají, casabe, pan)."
asiore,calentar.
asise,"1 (estar) caliente, tener calor, hacer calor. 2 tener fiebre (cuerpo). caus. asiore. sinón. rujʉ asise. V. asicõari rijare, ʉ ʉr . —s.v.inan. 1 calor. 2 fiebre, calentura."
asisĩore,"chamuscar (matas, acción del calor del sol)."
asituuse,alcanzar (el calor del fogón).
au,inan.s.de masa cogollo de yuca brava o carurú (hojas nuevas).
auro,pichí pico de marfil (especie de tucán pequeño). Pteroglossus flavirostris.
auʉ,mata de carurú (bras. especie de planta con tallo suave y hojas comestibles). Amaranthus melancholicus L.
awari,especie de ave acuática (con cuello largo y come pescado).
awasãgotire,"aconsejar gritando, en voz alta."
awasãre,1 gritar. 2 ladrar (perro).
awe,atadura de canasta.
ayaa,"ayaʉ d , ayʉ d interj. ¡ah!, ¡ay!, ¡huy!, ¡ax! (exclamación de dolor agudo)."
Ayawa,"carácter mítico, ascendiente, antepasado, uno de los que dieron la tierra y los bienes a la gente."
ayawa,especie de pájaro (pequeño). 20 pl. ayawaroa.
ayoo,"huy!, ¡eh!, ¡ay no! (exclamación de advertencia o misericordia)."
ayuu,"huy!, ¡eh!, ¡ay no! (exclamación de miedo o misericordia.)."
ãcatuse,retoñar (tronco o rama podada).
ãco,"vaco colorado (especie de garza moreno, con plumas claras y marcadas de la pechuga, vive cerca del río, come pescado). Tigrisoma lineatum."
ãgã yuruʉ,especie de árbol (cuya cáscara se utiliza para enrollar la prenda de la danza que se cuelga por la espalda).
ãgõbatere,"espantar, ahuyentar, esparcir (personas, animales)."
ãgõbatetuure J,jʉobatetuure E v.t. hacer caer gotitas al cuerpo en el proceso de batir.
"ãgõre J, YM","jʉore E, YM v.t. batir, revolver (manicuera, mingao, muñica, cualquier sopa, chocolate, etc.)."
ãgõreare,"espantar, ahuyentar, esparcir (personas, animales)."
ãgõrocare,"espantar, ahuyentar, esparcir (una persona, animal)."
ãjure,"bucear, zambullir, nadar debajo del agua."
ãjurujare,"bucear, zambullir, nadar debajo del agua."
ã ibuucũure,"poner afuera, sacar afuera (una cosa). sinón. buucũure. V. ãmire."
ãmibuure,"llevar, sacar afuera de la maloca (una cosa)."
ãmibuurotire,"ordenar, mandar a llevar alguien afuera."
ãmiejore,"coger y llevar, traer a un lugar (una cosa)."
"ãmigãmeore E, J","mĩ mẽ õ ẽ J] v.t.sing. alzar y pasar al otro lado o sitio (una cosa). V. gãmeore. ãmigãmeore E, ã ijʉdare J coger y voltear (una cosa como pescado muqueado, carne, maíz, arepa, plátano, tabaco, hoja de papel, palo)."
ãmigãore,"hacer girar, ã iĩsire ãmo Eduria & Barasana – Español – 21 girar (poste)."
ã iĩsire,"dar, pasar algo al otro."
ãmijeore,alzar y colocar encima de (una cosa).
ãmijʉdare J,ãmigãmeore E v.t.sing. coger y voltear (una cosa).
ãmimoore,"trastear, hacer subir (una cosa a una parte más alta, como una canoa del río a la tierra)."
ã i ʉojeore,"mĩ m õ ó J] v.t.sing. colocar, poner encima de (una cosa)."
ãmiñuure,"mĩ ũ ẽ J] v.t.sing. alzar y extender, entregar, ofrecer (una cosa)."
ãmire,"llevar, sacar, recoger, traer (una cosa)."
ãmiroca sudire,mĩ ó súd J] v.t.sing. alzar (niño) y llevarle sobre la cadera.
ãmirojawaare,"m ĩ ó w J] v.t.sing. llevar cuesta abajo, hacia abajo."
ãmirojore,colocar (olla) en el suelo.
ã iroocũure,mĩ ó o ẽ J] v.t.sing. coger y dejar (un poco más) cerca al río.
ãmirudire,robar de escondidas (una cosa).
ã iwiocũure,mĩ w ó ẽ J] v.t.sing. colocar en el centro de la maloca (una cosa).
ãmiyayiore,"llevar y perder o esconder (depende del contexto, una cosa)."
ãmiyoore,alzar y colgar. 22
ãmo,mano.
ãmo sãariabedo,"m s dó J] s.v.inan. anillo para el dedo, argolla."
ãmobea,muñeca.
ã obʉrʉa,puño.
ãmocooro,la mano formada como una copa para recibir o tomar algo.
ãmocotiro,palma de la mano.
ãmogase,1 uñas del dedo de la mano. 2 garras.
ãmogase buubetire,"m g se ú t e J] andar con las garras envainadas (gato, tigre)."
ãmogase buure,"m g se uú e J] desenvainar, sacar (las garras, gato, tigre)."
ãmogodare J,"bojarẽtore E v.t. querer más (que otras cosas, personas, etc.). V. ãmore, ãmorẽmore. —s.v.inan. lo más querido."
ã oĩare J,"bojaĩare E v.t. desear, codiciar (cosa, persona). V. ãmore, ĩaʉore."
ãmore J,"bojare E, YM v.t. querer, necesitar."
ĩi ã ose J,"ĩi bojase E sus deseos, lo que él quiere (uso: tiempo presente, generalmente requiere pronombre posesivo)."
ã orẽ ore J,bojarẽ ore E v.t. querer más (de lo que le dan). 23
ãmosiare,casarse con (en referencia a los blancos).
ã osiariarʉ ʉ,"m s m J] s.v.inan. día de la boda, día del matrimonio (referente a los blancos)."
ãmowãsoa,dedo de la mano.
ãmowãsoacuuri,"m w sõ úu J] nudillos, articulaciones del dedo."
ãmowãsoa sõojuuria,m w sõ s úu J] dedo índice. ã owãsoa tʉsarica dedo meñique. ã owãsoa tʉsarica rĩjoroaga dedo anular (tercer dedo). V. apén. dibujo de los dedos de la mano.
ã ʉa,"cuello (ser humano, botella), pescuezo (animal, ave)."
ã ʉgoje,garganta.
ã ʉñenero,agalla de pez.
ã ʉtutu,"cuello (ser humano, botella), pescuezo (animal, ave)."
ãni,éste.
ãnii,ah no! (exclamación de desánimo).
ãnoa,"éstos, éstas (animales, personas). sing. ãni, adio. V. õa. ãña culebra"
ãña,"culebra, serpiente. 24 ĩna Las culebras ãña jĩco sũarã viven por el suelo. pl. ãña jĩco sũarã sinón. ãña sũʉ."
ãña josʉ,cualquier culebra no venenosa.
"ãña rʉjoa E, J","ãña rijoa J ó an. geco cabeciamarillo (especie de lagarto con patas venenosas, bravo, con cola corta). Gonatodes albogularis."
ãñaaro,culebra grande.
ãña gujimaa,zarzaparrilla. F. Liliáceas.
ãñatigã,tobillo.
ãri wayu,garzón soldado. Jabiru mycteria.
ãtiacaje,mata de la maleza ãtiacaje (especie de hierba baja).
ãtiare,estornudar.
baa,"no saber, ¿quién sabe?"
baábʉare,comer y hacer dolor al otro (por no mandar soplar al payé).
baácatire,vivir bien por comer. 25
baácudire,andar comiendo.
baácũure,comer dejando caer huesos o migas de casabe al suelo.
baágoore,"comer todo. sinón. baájeore. V. baáre, goore, rujagoose. ĩi baágoose sobras, restos de comida de él (la parte desechada de lo que él comió)."
baágooriabaja,góo J] s.v.inan. plato sucio.
baáĩare,"saborear, probar (comida)."
baáĩore,comer en la presencia de otros que no están comiendo.
baajãjare,"nadar de un río grande a uno más pequeño, orillarse en medio de un río hacia la orilla."
baájeore,comer todo.
baajere,nadar y jugar o divertirse.
baajẽare,nadar a través.
baájoore J,"baásejare E v.i. acostumbrarse a comer, aprender comer (comida diferente)."
baáqueare,"comer una parte de (piña, carne, etc.)."
baáquẽnare,gustar me/te/le/nos/les comer.
baare,nadar.
baáre,comer. 26 cierta comida. —s.v.inan. comida prohibida o tabú.
ĩi baáse,comida de él (uso: requiere pronombre posesivo).
baáre jeoriacooro,"e ó óó ó J] s.v.inan. tazón, plato. sinón. baáre jeoriabaja, baáre sãariabaja, aár a aja, ñuu aar a aja, sõmotẽero. V. rujabaja, sotʉ aja. baáre roagʉ, baáre roago s.v.m., f. cocinero, cocinera."
baáre roariawii,e o w J] s.v.inan. cocina (casita aparte para preparar la comida).
baáreaca,un poco de comida.
baáreare,comer y echar comida (para que no se dañe).
baáriabaja,"plato servido, tazón servido. sinón. baáre jeoriabaja, baáre jeoriacooro, baáre sãariabaja, jioidiriabaja, ñuubaariabaja, sõmotẽero. V. rujabaja, sotʉ aja. baáriabaja jeore poner en la mesa (un plato servido)."
baáriguse J,"baárʉa acose E v.i. tener hambre, hambrear."
baárii,uno comestible.
baárocare,1 comer un ser vivo. 2 comer y botar (una cosa).
baároti,comida para más tarde.
baárotire,"invitar, mandar a comer; ofrecer comida."
baárʉa acose E,"baáriguse J v.i. tener hambre, hambrear."
baárʉase,"restos, sobras de comida, comida sobrante. 27 carne o pescado’, aárʉaseaca ‘poquitito que sobra’. V. baáre, baároti."
baásãare,"comer, ingerir."
baáseare,comer (una parte).
baásejare E,"baájoore J v.t. acostumbrarse a comer, aprender comer (comida diferente)."
baásĩare,"1 picar causando sufrimiento, matar (hecho por piojos, niguas, colorados; modismo). 2 comer todo hasta que no alcanza cubrir la familia."
baátʉore,cenar.
baawijare,"nadar hacia el centro del río, caño, lago."
baáyujire,desayunar.
baba,"1 amigo, amiga. 2 compañero, compañera. 3 uno de un par."
baba cʉtiteere,"t t e e J] no querer un compañero, amigo."
babari,"cuatro (cosas, tiempos; uso: requiere sustantivo o clasificador)."
babaricãrãca E,"babarirãca J núm.inan., pron.inan. cuatro (cosas, tiempos; uso: requiere sustantivo o clasificador)."
"babaricãrãcʉ, babaricãrãco E","babarirãcʉ, babarirãco J núm.m., f.; pron.m., f. cuatro (animales, personas)."
baboore,hacer en pares.
badi,"nuez, nueces yapurá (ger. especie de nuez comestible del árbol Badi cojãnaʉ baja Eduria & Barasana – Español – 28 yapurá)."
Badi cojãnaʉ,cerro en la cabecera del caño Tatú.
Badicojoero,"cachivera (bras.), raudal, rápido (en el caño Piedra). 2."
badi ĩa,"an.s.plural orugas tapurú (ger. especie comestible y parecido a las orugas sõnasa, pero más grande)."
badi nurujia E,"badi rẽe gujia J an. especie de culebra (innocua o inofensiva que tiene dientes muy pequeños, blanca con rayas verdes)."
badi ñaguẽro,"especie de araña (pequeña de color cafe claro con patas largas y peladas, pica)."
badi rẽe gujia J,"badi nurujia E an. especie de culebra (innocua o inofensiva que tiene dientes muy pequeños, blanca con rayas verdes)."
badiʉ,árbol yapurá (ger. que produce la nuez yapurá).
Badiya,el caño Yapurá (ger. afluyente del caño Piedra). V. apén. mapa2.
baguebʉsʉore,"masticar, triturar y hacer ruido (hueso, algo duro o quebradizo)."
baguere,"mascar, masticar."
"baigʉ, baigo E","bʉogʉ, bʉogo J s.v.m., f. 1 malo, mala (animal, persona). 2 feo, fea (animal, persona). sinón. roacʉogʉ, rojogʉ. antón. quẽnagʉ ."
baise E,"bʉose J s.v.inan. 1 (ser/estar) mal, malo, mala (casa, fruta, olor, herida de mordedura de culebra); horrible. 2 (ser/estar) feo, fea."
baja,"an.s.plural peces platos, peces ojón (especie blanco y circular, del tamaño de la mano humana). 29 ñaacama ĩna Los peces platos son blancos y tienen una forma circular."
bajare,mecerse.
bajare E,ãgõre J v.t. batir para espesar (especialmente para mingao que se prepara con almidón de yuca metida en agua hervida hasta que se espesa).
bajere,"dar fuete (con un instrumento desafilado como un bejuco); dar (una paliza), zurrar."
bajeyʉrʉare,"dar fuete, zurrar repetidamente."
baji,bajiʉ inan. red para pescar.
bajiboajaquẽne,"1 sin embargo, aunque esto pasó (uso: con cambio del sujeto). 2 pero (uso: con cambio del sujeto)."
bajiboarine,aunque esto pasó (uso: generalmente con el mismo sujeto).
bajiboarone,1 aunque esto pasó (uso: con cambio del sujeto). 2 pero (uso: con cambio del sujeto).
bajiderease,tener una enfermedad común que tiene muchos síntomas leves y malestar general.
bajigodari J,"bajijacari E adv. (ser/estar) difícil de pasar. V. bajire. bajigodariaca V. bajijacariaca E. baji, bajiʉ red para pescar"
"bajigʉjʉ a, bajigojʉ a, bajirojʉ a","sin embargo (masculino, femenino, neutro). 30 vender). Sin embargo, hay un poco de hilo."
bajijacari E,bajigodari J adv. (ser/estar) difícil de pasar.
bajijacariaca E,"bajigodariaca J gód adv. difícilmente (uso: lengua tradicional, indígena)."
baji ʉorʉ gõre,"m g õ ẽ J] v.i. por pasar el tiempo, después de un tiempo (días; modismo)."
bajire,"existir, ser, estar, pasar así, parecerse a."
bajirearãre ĩna yujeriajaʉ,ẽ ĩ n d u J] inan. cementerio.
bajireare,morir (muchas personas).
bajiri seyomi J,bajiruyumi E v.i. parecer que pasó.
bajiro E,"bero ó J adv. como, semejante, modo, manera (en manera o apariencia)."
bajirocare,morir (una persona).
"bajirocarii, bajirocario","s.v.m., f. muerto, muerta; difunto, difunta."
bajirocaweomasicaco,"ó w ó m sĩ J] s.v.m., f. muerto, muerta; difunto, difunta (conocido por el hablante)."
bajiyayire,morirse.
bara mimi,especie de colibrí (rojo).
barire,tambalearse.
basa,"1 danza, baile. 31 bailaron la danza de la oropéndola. V. basase. 2 canción."
basa wii,término general para los días de la danza.
basabioore,danzar para inaugurar (casa nueva).
"basacʉdigo, basacʉgo","bailarina, bailadora, danzadora y cantante femenina. pl. asacʉd rã rõm r sinón. basago: asagʉ, asar maso: asar masʉ, ayao: aya. V. basare."
"basagʉ, basago","s.v.m., f. bailarín, bailarina; bailador, bailadora; danzador, danzadora y cantante. pl. basarã. sinón. asar masʉ, asacʉd gʉ, aya. V. basare, apén. dibujo del bailarín."
basa guu,especie de tortuga (grande del río Amazona). V. guu.
basajeore,"inaugurar, danzar y consagrar para proteger (chagra nueva o al terminar proyectos como sembrar la yuca brava)."
basare,"1 danzar, bailar. 2 cantar."
basariase,casete para grabadora.
"basari asʉ, basari aso","s m s J] s.v.m., f. 1 bailarín, bailarina; bailador, bailadora; danzador, danzadora. 2 el cantante, la cantante. pl. basarimasa. V. asagʉ, basare."
basarito,casete para grabadora. sinón. basariase. V. ñagõsãariaro.
basase,"danza (uso: requiere palabra modificador o pronombre posesivo), baile."
basasʉyagʉ,"m., f. bailador en la fila que sigue el ritmo del bailador principal."
basatoreroa,an.s.plural hormigas basatoreroa (especie incomible de color amarillo).
base,garrapata.
basere,"ejecutar los ritos del payé (para quitar maldad de la comida o de una persona por soplar, cantar, rociar agua, etc.)."
batawaare,rajar para abrir (platanillo).
batawejere,"rajar (cosas, frutos). 32 base garrapata"
batere,repartir.
batese,resquebrajarse (fruta).
batoore,"repartir, compartir."
baʉ,"bien!, ¡magnífico!, ¡qué bueno! (exclamación de aprobación)."
"baya, bayao","m., f. bailarín principal, bailarina; bailador principal, bailadora; danzador principal, danzadora y cantante principal (posición de dirigir la danza)."
beco,"1 mosca pequeña (cualquier especie). Musca domestica. 2 gusano, larva (en carne podrida) de cualquier mosca pequeña. V. wãsi."
bede E,yʉʉ bedeo J f. hermana menor (uso: vocativo).
bedeo,hermana menor.
bedi,hermano menor.
bedire,ayunar (porque la comida es prohibida).
bedoare,"1 enrollar (bejuco u otras cosas como cuerdas, etc.). 2 redondear (palo o bejuco como en hacer el borde de una canasta con un bejuco)."
bedorimaa,"camino chueco, camino torcido (con muchas curvas). sinón. begorimaa. V. rujabedo."
bedose,"tener curvas, giros, vueltas (río, caño, camino, bejuco, palo)."
bee,"frutas silvestres del árbol beʉ (especie comestible). 33 as o y cõar , eere j osãacama aárʉarã Calientan un poco de agua y echan la fruta bee para comer. sing. beea. pl. bee, beeari. V. eʉ."
beero E,jʉdo J adv. después.
"beeroagʉ, beeroago E","jʉdoagʉ, jʉdoago J m., f. el menor de edad, la menor de edad, detrás de (en términos de nacimiento)."
begorimaa,"camino chueco, camino torcido (con muchas curvas)."
begose,cosas torcidas.
bejaare,"podar, quebrar por torcer (ramas)."
bejeroa,"an.s.plural ranas bejeroa (especie verde que se encuentran en la orilla del río, no comestible)."
beore,"aconsejar, dar consejo, avisar (no hacer algo)."
beori,hojas espumosas utilizadas para lavar la cara.
beoriʉ,beoricʉ ó inan. especie de árbol o arbusto (cuyas hojas se utilizan para lavar la cara y cuya cáscara se utiliza para limpiar el sistema digestivo).
bero J,"bajiro E adv. como, semejante, modo, manera (en manera o apariencia)."
beroa,"an.s.plural abejas. O. Hymenoptera, SuperF. Apoidea, F. Apidae; Trigona spp.; Apis mellifera. 34 beroa bʉcʉ abejorro"
beroa bʉcʉ,abejorro. Bombus spp.
beroa oco,inan.s.de masa miel de abeja.
besare,sacar (agua de canoa con la mano o un recipiente).
besere,"escoger (cosa como tela, palo, comida)."
besoro ñimia,an.s.plural grillos besoro ñimia. Anabrus simplex.
besu,"1 palmas pachúa (ger.), arboleda de palmas pachúa (el sitio donde hay palmas pachúa). sing. besuño. pl. besu, besuñori. 2 pachúa (ger. tiras, listones de la cáscara de palma de pachúa utilizadas para techar). 3 armas para matar animales (lanza, escopeta, cerbatana)."
besuboca,"aljaba y flechas, carcaj con flechas."
besujãi,"tira, listón de pachúa (ger. utilizada para techar)."
besu inoa ʉ,esú mĩn m J] an. golondrina riparia. Progne chalybea.
besuño,palma de pachúa (ger. cuyo tronco es utilizado para hacer las tiras a que les tejen las hojas del techo).
besuʉ,"bastón para el narrador de la danza (parecido a una lanza, tiene piedritas Besuya bia Eduria & Barasana – Español – 35 al fondo y hace un sonido al golpearlo)."
Besuya,"caño Pachúa (ger. afluente del río Pirá-Paraná, arriba de Sonaña donde uno sale a sacar arcilla para hacer ollas). V. apén. mapa3."
betaa,"corombolo (reg. frutas comestibles de la palma chambirá, una especie de coco)."
betaaño,"palma chambirá (produce la fruta comestible betaa y la fibra cumare para hacer cuerdas, hamacas, etc.). Astrocaryum vulgare, Astrocaryum vulgare Mart., Agave americana, Astrocosum."
betapeero,correcaminos collarejo (especie de ave negra). Neomorphus geoffroyi salvini.
beʉ,especie de árbol (que produce la fruta bee).
bia,"ají. Capsicum spp. 36 bia tuga E, bia tua J canasta para secar ají"
bia tuga E,"bia tua J tú s.v.inan. canasta para muquear, secar ají (recipiente tejido de tablillas o lonchas delgaditas y bejuco que se utiliza para secar ají sobre el fuego)."
bia cajesueroa,"súe o J] an.s.plural mosquitos bia cajesueroa (especie pequeña, a ellos les gusta la humedad y molestan mucho a los ojos)."
biaga,iniciado (quien está protegido por el chamán en la ceremonia de iniciación).
biajũna,"an.s.plural hormigas arrieras, hormigas culonas, hormigas manivaras biajũna (bras. especie comestible con cabezas negras que vuelan en las primeras horas de la tarde). F. Formicidae, Atta cephalotes, A. sexdens. sing. ajũnamʉ V. mecaya, apén. gráfica de termes y hormigas. biajũna riarã an.s.plural hormigas arrieras biajũna que vuelan durante el día."
bia ara ʉ,picalón (especie de pez siluro).
biare,encerrar (como en hacer el soporte para el tiesto).
biáre,sembrar (yuca brava).
bia sĩque,"especie de pájaro (pequeño, de color verde con cabeza amarilla). 37 rastrojos."
bia sua,especie de loro.
bia tiroya,"especie de pájaro (pequeño, de color verde con cabeza amarilla). pl. bia tiroa. sinón. a sĩque."
biatuure,"represar, tapar, cerrar (caño, río)."
biatuuriacʉ ni,"túu n ĩ J] s.v.inan. represa. sinón. biatuuriaro. V. biare, rujacʉ n ."
biatuuriaro,"represa. pl. biatuure, biatuuriarori. sinón. atuur acʉ n . V. biare, rujaturia."
biatʉ,especie de árbol y su fruta comestible.
biatʉ ini,"especie de pájaro (verde, que chupa el néctar de la flor de guama)."
bia utia,an.s.plural avispas bia utia (especie).
bibere,"1 tapar (hueco), calafatear, tapar (agujero en canoa con brea). 2 vendar, tapar (los ojos con gaza, gafas, etc.). 3 cerrar (la llave de tubo de agua)."
bibire,cerrar (los ojos).
bibirʉore,tener los ojos medio cerrados.
bibitaare,"parpadear, pestañear."
bidise,"estar) apretado, apretada."
bii,1 ratón. bii rata 2 rata. Rodentia spp.
biisi,especie de pájaro que predice que algo malo sucederá (pájaro de mal agüero).
biiti,"pepas del árbol de caucho, pepas de seringa o seringuiera (bras. nueces utilizados como comida machucada y cocida para comer con casabe). Hevea spp."
biitirʉcʉ,"especie de yuca brava. V. quĩ , rujarʉcʉ."
biitiʉ,"especie de árbol de caucho, cauchera, hevea, palo de seringa (bras.). Hevea spp. 38 pl. t yucʉ V. biiti. biitiʉ, ricaa cʉtiʉ árbol de caucho y su fruto"
bijere,colar (apretar con las manos la masa de mandioca o yuca brava en un colador para extraer el jugo venenoso de la masa).
bijerijo E,"bijeribo J í.bó] s.v.inan. balay colador, colador, cedazo de mimbre (utilizado para colar la masa de yuca brava)."
bijĩco weayo,sirirí tijereta. Tyrannus savana.
biore,"1 apretar (tornillo), atornillar. 2 hacer guindo (bras. cuerdas para la hamaca de cumare)."
biotuure,apretar.
biri,"misingo (especie de pez comestible que tiene espinas que hacen dolor e hinchazón). 39 cebado con una lombriz que hemos amarrado y colgado en un rebalse. Entonces, si ustedes quieren comer el misingo, váyase a amarrar y colgar un anzuelo cebado con una lombriz en un rebalse."
biti,pepas negras de la palma bitiño (utilizadas para hacer brazaletes).
bitimaa,brazalete (hecho de pepas negras de la palma bitiño o pepas blancas de la mata ojorica biti).
bitiño,especie de palma (produce las pepas biti que se utiliza para hacer brazaletes). V. biti.
biʉ,mata de ají. Capsicum spp.
biyaane,frecuentemente (el mismo evento se ocurre repetido por períodos cortos).
biyaroaca,"frecuentemente, continuamente, seguidamente, juntico, cada nada (reg. el mismo evento se ocurre muchas veces)."
biyase,"ser/estar) juntos, junticos; estrecho, estrecha."
boaa,an.s.plural sardinas boaa.
"boagʉ, boago E","jogagʉ, jogago J s.v.m., f. (ser/estar) podrido, podrida (animal, persona)."
boaro,tierra pantanosa y rocosa (de pobre calidad que no sirve para hacer chagras).
boaro mini,especie de pájaro.
boase E,"jogase J v.i. (ser/estar) podrido, podrida; podrirse."
boa wese,"terreno, tierra arenosa o rocosa (tierra pobre). 40 ñaacajʉ Un lugar arenoso/rocoso tiene árboles bajitos y tierra pobre. V. boaro, sita, wese."
boboroa,an.s.plural bichos boboroa (pequeñitos de color blanco que les aparecen en mugre).
boca,"1 mientras. 2 responder (significa una acción recíproca y autónoma). 1 ver (la llegada del otro mientras que él viene de una distancia). 2 mirar mientras que otro realiza actividades sin participar. 1 responder por pelear, pegar. 2 tumbar (palos)."
boca tĩare,"estar encargado a atizar, meter leña al fogón."
boca tudíre,responder con regaño.
boca yire,hacer mientras que hace otra actividad.
bocare,"1 encontrarse con (personas, animales). 2 usar algo rechazado o reservado (rito del payé para evitar o prevenir enfermedad o maldad). 41 Maa waána, gãmere bocaama. Se encuentran en el camino."
bode,"libélula. O. Odonata, F. Calopterygidae, Libellulidae, Aeshnidae, Gomphidae, Coenagrionidae."
bodea,"inan.s.de masa ocre (pigmento, tinta, pintura amarilla hecho de un tipo de arcilla utilizado para colorear las ligas de las piernas)."
bodeajũu gaa,"o d ũ g J] an. especie de halcón, gavilán."
bodeca,"guaracú (bras. especie de pez del tamaño medio hasta treinta cm., comestible, tiene manchas negras por los lados). Leporinus agassizii."
