basaa,1 canciones. 21 2 danzas. 3 música.
basara,1 cantar. 2 discantar. 3 hacer una ceremonia.
basari ca,fila de bailadores.
basari wùhù,maloca (casa grande construida de hojas de palma encima de una armadura de palos). lit. casa de baile.
basariro,1 cantante. 2 bailador.
basi,to basi) adj. sí mismo.
basi dùcata masierara,"ser indefenso, indefensa."
batichù,batichu s.inan. escudo.
bato tira,"ser fin; último, última."
bato tiriro,el último (ser humano).
bato tiro,fondo. 22
batoca,1 fruta de la palma de cumare. 2 trompo.
batoõ,palma de cumare. Astrocaryum vulgare.
be diho cûna,apretar (con un objeto).
be dùcataa co,vacunación.
be dùcatara,vacunar.
be puhara,"pincharse (involuntariamente), picarse, punzarse."
be tùhrêna,punzar y rasgar.
beh,"no me diga, ¡qué cosa!"
benah,"no me diga, ¡qué cosa! sinón. beh."
bera,"1 agujerear, horadar. 2 cultivar, sembrar. 3 inocular, inyectar, poner inyección."
beria,1 aguja (para jeringa). sinón. awica. 2 jeringa.
beruma,gorgojo. 23 chùri jira. Los gorgojos se comen nuestras casas. sinón. sarêina. s.inan. taladro.
besera,"1 decidir, elegir, escoger, votar. 2 juzgar."
bia dachoa,orugas (que comen ahí).
biaca,ají (la fruta). Capsicum sp.
biato,"1 s.inan. quiñapira, salsa de ají y pescado. 2 olla."
biato topa tù,al centro de la olla (adentro).
bida nina,"1 ser blando, blanda. 2 ser flexible."
bidaa wahara,"1 deshincharse. 2 quedarse paralizado, paralizada; paralítico, paralítica."
bidachù yoara,"ablandar, suavizar."
biha cûna,enjaular.
bihaerariro,animal que vive suelto. 24
bihara,"1 abotonar, abrochar. 2 cerrar, encerrar. 3 tapar. 4 atascarse."
bihari tia,tapón. 2.
biharica,represa.
bihi,rata. Fam. Muridae spp.
bihi potaca,ratón con espinas. Hoplomys gymnurus.
bihi sohãriro,"rata roja, ratón rojo. Fam. Muridae."
bihoerara,"ser incapaz, no ser capaz."
bihora,"ser capaz, tener éxito, lograr."
bihsa nina,"apiñarse; estar atestado, atestada."
bihsaerara,"estar flojo, floja. 25"
bihsaero dero,"quedar floja, flojo."
bihsara,"oprimirse; ser apretado, apretada."
bihtira,"1 estar apretado, apretada. 2 estar tapado (el oído)."
biritura,"1 ponerse tiesa, tieso; hacerse más tenaz. 2 aguantar."
birituriro,"alguien tieso, terco, tenaz."
bisia,dulce.
bisiare sãahna,endulzar. 1.
bisica,viruela.
bisichù yoara1,endulzar.
bisichù yoara2,rechinar.
bisira1,ser dulce.
bisira2,"rechinar, sonar."
bisiro coa tara,"rechinar, sonar. 2. V. bisichù yoara2, coa tara."
bo coma,hacha de piedra. 26
boa nina,"1 estar blando, blanda. 2 ser tierno, tierna. 3 ser delicado, delicada."
boara,"1 gastar. 2 ser tierno, tierna. V. boa nina."
boca sùra,llegar allá y encontrar.
bocara,"descubrir, encontrar, hallar."
bohrea caharoi,"al alba, al amanecer, en la madrugada."
bohrea mùja tachù,"al alba, al amanecer, en la madrugada."
bohrea mùja tara,alumbrar por primeros rayos del sol.
bohrea parî caharoi,"al alba, al amanecer, en la madrugada."
bohrea tõhna,bohrea tohra v.i. cogerse el día.
bohreara,"pernoctar, trasnochar."
bohreariaca,lucero.
bohrearo,aurora.
bohrearo chùa,bohrearo yù chùa) s.inan. desayuno.
bohrearo chùra,desayunarse.
bohrearoi,"al alba, al amanecer, en la madrugada. 27"
bohta,"blanqueo, jalbegue."
bohta mehne wisõna,enjalbegar.
bohta pû,bohte pû s.inan. hoja del árbol de warumo.
bohta pû cja,"gavilán blanco, águila blanca. Leucopternis albicollis."
bohta pûcù,árbol de warumo.
bohtea,pez guaracú. Leporinus agassizi.
bohtea niti tùri tiriro,pez guaracú. Leporinus friderici.
bohto,1 agrupación (pequeño). 2 bosquecillo pequeño.
bonocahna,1 perder. 2 olvidar.
Bopoa,Villa Fátima (nombre de un cacerío de wananos en el río Vaupés).
bora,1 olvidar. 2 gastar. 3 perder. 4 perdonar. 28
bora caha sùra,caer al suelo.
bora doca puhara,caerse encima y herirse.
bora ñojana,caerse al agua.
borara,caerse.
boroora,"1 dejar caer. 2 abaratar, descontar, disminuir, rebajar. 3 deshincharse."
bosara,"aconsejar, reconciliar."
bose chùra,comer durante una fiesta.
bose nùmù,"día de feria, fiesta."
bose nùmù dahrera,celebrar.
bose nùmù yoara,celebrar.
boseana,"peces caloche. Sternopygus macrurus, Eigenmannia virescens."
bosioro,"golondrina, vencejo cuellirrojo. Neochelidon sp., Cypseloides sp."
boso,tintín (especie de roedor comestible). Myoprocta acouchy. 29 curecã jira. El tintín es pequeño. Es un poco más pequeño que la guara.
bota,poste.
bronce wama tiri comaa,bronce.
bu,"guara (roedor de pelo oscuro, rabo corto y de peso de tres a cinco kilos). Dasyprocta rubrata, D. fuliginosa, D. aguti."
bu chùro nina,ser luna llena. lit. la guara está comiendo.
bu me,1 rocio. 2 neblina. 1.
bu pi,tipo de pescado (parecido a la sardina). Anostomus trimaculatus.
buhaara,irse al puerto.
buharo sehe,"al lado más cerca del río. V.pal.prin. sehe. V. majano sehe, õ majanopù."
buhe dujiri pahta,"pupitre. pl. buhe dujia pahtari. sinón. joa dujiri pahta, joa dujiro. V.pal.prin. pahta."
buhe majare tjúaara,repasar (enseñanza).
buhemahnoerariro,analfabeto.
buhera,"1 educar, enseñar, entrenar, instruir. 30 instruyó sobre cómo arreglar un motor. 2 estudiar, leer. 2, ñùna. v.i. asistir (clase)."
buheri tahtia,"oficina, aula, salón de clase."
buheri tju,libro.
buheri tju mohari cahsaro,forro.
buheri wùhù,escuela.
buhericoro,maestra.
buheriro,"1 alumno, discípulo, escolar, estudiante. 2 maestro, profesor."
buhero cahmana,"ser necesario estudiar. 1, yoaro cahmana."
buhero sãahna,ingresar (en la escuela).
buhini da,arco iris. sinón. buhini soro.
buhini soro,arco iris.
buhiri,culpa. 31
buhiri dahre dutira,condenar.
buhiri dahre dutiriro,"juez. pl. buhiri dahre dutiina. sinón. masare beseriro, buhiri tiare cahnoriro."
buhiri dahrera,1 castigar. 2 disciplinar.
buhiri ti dutierara,absolver.
buhiri ti dutira,culpar. 1.
buhiri tiare cahnoriro,juez.
buhiri tira,tener culpa.
buhiri tiriro,un culpable.
buhisemaca,buhisamaca s.an.pl. 1 indígenas. 2 cubeo (nombre de un grupo lingüístico en el Vaupés).
buhria sahsera,iluminar completamente.
buhria sitera,iluminar (difusión de luz). sinón. buhria sahsera.
buhriara,1 aclarar. 2 iluminar.
buhriaro,luz.
buhsa,algodón.
buhsa tira,"1 adornar, ponerse adorno para bailar. 32 2 ponerse ropa nueva."
buhtù wihira,llegar del monte al río aquí.
buhu sùra,llegar al río allá del monte.
buhura,"echar al agua (para que se ablande, mandioca, las frutas umarí o wacu)."
bui,"1 encima, sobre. 2 más de."
bui cure yahura,exagerar. sinón. yùhdo cure yahura.
bui curero wapa dutira,cobrar más.
bui macari suhtiro,abrigo.
buia,buiga s.inan. incienso.
buira,"humear, producirse humo."
buiriro,"calima o calina, neblina, niebla."
buja,"paloma, tortolita sabanera. Columbina minuta. 33"
buji,yù buji) s.m. yerno.
bujiboho,yù bujiboho) s.f. cuñada (del hablante masculino).
bujibùhù,yù bujibùhù) s.m. cuñado (del hablante femenino).
burera,"1 desgranar, raspar (granos de maíz). 2 desplumar. 3 quitar (el pelo). 4 cosechar (hojas)."
burura,"1 caer (fruta), madurar. 1, sohãna. 2 caer (hojas). 3 perderse el pelo."
busio,achiote. Bixa orellana.
busiocù,árbol de achiote. Arbusto bixáceo.
busiocù dicha,fruta de achiote (de cuyas semillas se extrae un pigmento). Bixa orellana.
buti mùaa wahara,desaparecerse.
butia wahara,"1 desaparecerse, desvanecerse. 2 perderse. 34 3 morir. 4 destruirse."
butiachù yoara,desvanecer.
butira,butiara v.i. 1 perecer. 2 perder.
butu cahî,periquito. Forpus passerinus.
butu pocoroa dihana,"butu pocaroa dihana s.an.pl. comejenes comestibles (para pescado, la gente no debe comerlos)."
butua,comejenes. Isoptera.
butua wairo,butuairo s.an. tipo de sardina. Caenotropus labyrinthicus.
bùa morena,mezclar (con un movimiento circular).
bùa nano,rastrillo.
bùa pùtêna,tocar instrumentos de cuerda.
bùa pùtêno,guitarra.
bùa pjira,hacer señas que venga.
bùa sitera,"desparramar, escarbar. 35"
bùah,quién sabe!
bùara,gatear.
bùcaca sihbi,pez curito. Hoplosternum thoractum.
Bùcacopa,Matapí (cacerío desano en el río Vaupés).
bùcaro,"matapí, trampa de pescado."
bùcoro,"anciana, alguien vieja."
bùcù,"antiguo, antigua; viejo, vieja."
bùcù nuhmino,solterona.
bùcù sitiriro,1 alguien maduro. 2 alguien que actúa como se pone viejo.
bùcù wahmùno,"joven (aunque es viejo), soltero viejo."
bùcùa cahara,"acechar, emboscar, tenderle una emboscada. bùcùa cahara WananoEspañol 36"
bùcùara,"1 avanzar. 2 crecer. 2. 3 quedar maduro, madura (maíz, batata). 1, sohãna."
bùcàná,"1 bichos, insectos, plaga. 2 microbios, parásitos."
bùcànáre wajãna,desinfectar. 1.
bùcùora,1 adoptar. 2 criar.
bùcùoricoro,yù bùcùoricoro) s.f. 1 hijastra. 2 madrastra.
bùcùoriro,yù bùcùoriro) s.m. 1 hijastro. 2 padrastro.
bùcùpariro,lago.
bùcùri,espinaca.
bùcùro,"adulto, anciano, alguien viejo. 37"
bùcùro wahara,envejecer. sinón. muhguna.
bùcùro waro wahachù yoara,envejecer.
bùe moñona,fracasar de tirar (con arco).
bùe tura,frenar (algo) en el agua.
bùedù,flecha.
bùera,matar (con flecha).
bùeri cohrê,flecha con puya.
bùeri nete,arco.
bùeroa,hormigas bùeroa.
bùeroca dapora,"flechar, tirar (con flecha al pescado)."
bùerocapora,flechar al agua (y la flecha y el pescado flota).
bùerocara,"flechar, tirar (flecha)."
bùhara,"1 congelarse, enfriarse, sentir escalofrío, helar. 38 2 quedar dormido, dormida (una extremidad). 3 quedarse paralizado, paralizada; paralítico, paralítica. 4 secarse (pintura, brea, pegante). 5 ser tieso, tiesa."
bùhari mùna,poliomielitis.
bùhari mùna wahyùro,alguien que se enferma con poliomielitis.
bùhù,piraña. Taddyella (sub-g); Serrasalmus nattereri.
bùhù ñi,"caribe negro, piraña negra. Serrasalmus rhombeus."
bùhù yehseriro,"caribe blanco, piraña blanca."
bùjùa,grandes.
bùjùa witi dutierara,consolar. sinón. cahya dutierara.
bùjùa witi tùhotura,desanimarse.
bùjùa witira,"1 estar apenado, apenada; estar descontento, descontenta; entristecerse, darse lástima, estar triste. bùhari mùna WananoEspañol 39 2 arrepentirse, lamentar."
bùjùa yehdera,"caminar a trancos largos, a zancadas. sinón. yahcoaro yehdera, yoaro yehdera. V. bùjùa yehderiro."
bùjùa yehderiro,"alguien que camina a trancos largos, a zancadas. pl. bùjùa yehdeina. s.f. bùjùa yehdericoro. sinón. yahcoaro yehderiro, yoaro yehderiro. antón. daacã yehderiro, sùroca yehderiro. V. bùjùa yehdera."
bùjùchù yoaa,pl. chistes.
bùjùchù yoariro,"cómico, payaso."
bùjùpe cayora,"burlar, mofar."
bùjùpe wama,"pl./sing. apodo(s), mote(s). lit. nombre chistoso."
bùjùpea,"bromas, chistes."
bùjùpea payùriro,alguien juguetón.
bùjùpea quiti,chiste.
bùjùpera,"hacer una broma, bromear."
bùjùperiro,un chistoso.
bùjùpero marieno,"seriamente, en serio."
bùjùra,"1 reír. 2 tener risa, sonreír. 40"
bùo mariahna,ser un sinvergüenza.
bùo ti sãahna,avergonzarse de otro.
bùo tierara,ser un sinvergüenza. sinón. bùo mariahna.
bùo tira,"avergonzarse, darse pena, tener pena, tener vergüenza."
bùroora,1 causar bajar (en el río). 2 tragar.
bùrùra,bùrù tara v.i. bajar (por el río).
bùsara,poner collar.
bùsari da,collar.
bùsoca,canoa.
bùsoca co pohna,estela.
bùsoca co taro,agua adentro de la canoa.
bùsocare otura,bùsocare utura v.t. navegar (canoa).
bùti nina,buti nina v.est. ser duro.
bùtia wahara,"1 cuajarse. 2 endurecer; ser tieso, tiesa. bùo mariahna WananoEspañol 41"
bùtira,"butira v.est. 1 durar. 2 ser duro, dura."
ca,mico maicero. Cebus nigrivittatus / olivaceous.
ca bojoro,"maicero cariblanco, mico cariblanco. Cebus capucinus."
ca ñi,mico maicero negro. Cebus apelba.
ca yehseriro,"maicero cariblanco, mico cariblanco. Cebus capucinus. pl. ca yehseina. sinón. ca bojoro. V.pal. prin. ca."
cabucu,"un mestizo, una mestiza."
caha sù yùhdùara,casi secarse el río. sinón. sihbi caha sùra.
cahacã,"adyacente, cerca de; próximo, próxima."
cahacãi sùra,"acercarse, aproximarse."
cahai jiriro,yù cahai jiriro) s.m. vecino.
cahamacana tira,esclavizar.
cahamacùno,"criado, esclavo, sirviente. 42"
cahara,emborracharse.
cahariro,un borracho.
cahã ñùa duhuricoro,una que ya pasó la menopausia.
cahã ñùa pihti waroaricoro,una que ya pasó la menopausia.
cahã ñùa pihtiricoro,1 una que ya pasó la menopausia. 2 una que no menstrua.
cahã ñùna,menstruar.
cahãna,soñar.
cahbira,"1 deshincharse. sinón. bidaa wahara. 2 madurar. 1, sohãna."
cahcãna,atragantarse.
cahî,perico colimorado. Pyrrhura egregia.
cahîerariro,to yare cahîerara) s.m. alguien generoso. lit. uno que no mesquina.
cahîna,"1 amar, querer. 1. 2 mezquinar. 43"
cahîpo tahtia,perico calzoncito. Pionites melanocephala.
Cahîpoa,Piriquito (nombre de un cacerío Tariano en el río Vaupés).
cahma cahîa,amor mutuo.
cahma joarocaara,escribir el uno al otro.
cahma ñù tuhtiriro,"adversario, enemigo mutua o recíproco."
cahma sayoa,"altercación, argumento, debate, pleito (sobre una cosa o persona)."
cahma sayora,"argumentar, debatir, discutir, disputar (sobre una cosa, persona o ideas)."
cahma sãahna,"desear, querer de parte de otro o para sí mismo."
cahma sua sayora,argumentar enojado.
cahma sùhùdura,conversar.
cahma tanana,"jugar (con animalito, niño o esposa)."
cahma tuhtira,replicar. 44
cahma tju õhna,culparse uno a otro.
cahma wajãna,"batallar, combatir, guerrear. 1."
cahma wajãno,guerra.
cahma yoadohora,cooperar.
cahma yùhdùara,"tener avaricia, codicia."
cahma yùhdùrùca duariro,adversario.
cahmache dotapera,boxear.
cahmache dotaperiro,boxeador.
cahmachena,"cahmachera, cahmachùra v.i. luchar, pelear."
cahmacheriro,"alguien peleador, peleón."
cahmachuna,"cahmachura v.i. aglomerarse, reunirse."
cahmaerara,"rechazar, rehusar. 45"
cahmana1,"1 depender de, necesitar. 2 desear, provocarse, querer."
cahmana2,"corresponder (con la misma acción), vengar. V. cahmana2, wa cahmana. cjã cahmana pegar para vengarse."
cahmano seheta,to cahmano seheta) adv. de buena gana.
cahmarocaara,"encargar, pedir, ordenar, hacer un pedido, solicitar (de lejos)."
cahmoa,hormigas cahmoa.
cahmono,"oreja, oído."
cahmono bihtiachù yoara,"ensordecer, hacer sordo."
cahmono bihtiara,"ensordecer, hacer sordo. sinón. cahmono bihtiachù yoara."
cahmono yosa,aretes.
cahmono yosa yosahti copa,hueco en la oreja (para colgar aretes). 46
cahna duru,"pájaro ermitañito rufo, ermitaño rojizo. Phaethornis ruber."
cahno pahñona,"alistar; estar bien listo, lista."
cahnoerara,estar en desorden.
cahnona,"1 ajustar, arreglar, componer, reparar. 2 alistar, preparar, disponer, organizar."
cahnopohora,preparar una canoa (para ir).
cahnoyura,alistarse.
Cahrêa,Abiyú (nombre de un caño que es afluente al río Vaupés).
cahrêa,pájaro guanaguanare fluvial. Phaetusa simplex.
cahrêcù,palo de caimo. Chrysophyllum (Lucuma) Caimito L.
cahrêna,raspar (hierba con azadón).
cahsaa,"cerca (para coger pescado hecho de bandas de palma). 47 palma) para tapar un caño y coger pescado. sinón. dohro cahsaa, dohro cahsaa pahma."
cahsaro,"1 cáscara, corteza. 2 lámina. 3 piel. 4 concha de caracol y de tortuga."
cahsaroa,hormigas cahsaroa.
cahtara,aflojarse.
cahura,oler (irritando el pasaje nasal).
cahya dutierara,consolar.
cahya tùhotura,1 condolerse. 2 desanimarse (con otra persona). sinón. bùjùa witi tùhotura.
cahyaa,tristeza.
cahyadohora,"condoler de otro, tener simpatía."
cahyara,"1 estar apenado, apenada; descontento, descontenta; entristecerse, darse lástima, pesar me/te/le etc., estar triste. 48 2 arrepentirse, lamentar."
cahyaro,pájaro bobito gigante. Elaenia dayi.
cami co,medicina (para heridos).
cami dahrera,herir.
cami tichù yoara,herir.
cami tira,"herirse, lesionarse."
cami tiriro pjaro puhichapù,alguién que tiene úlcera en el estómago.
camino,1 herida. 2 cicatriz.
caminore dùcatari cahsaro,vendaje.
camisa,camisa.
camo dapora,"acostar, adormecer."
camona,"acostar, adormecer."
canibehti,navaja.
cano,"cosa larga como carguero, cáscara (para cargar un canasto en la cabeza); nylon, nailon o nilón (para pescar). gram. Esta palabra occure con otra palabra modificadora. pl. canori. V. pùhù cano, yohgari cano. cahyaro WananoEspañol 49"
canù arêri tia,trapiche. 2.
canù co,guarapo de caña.
canù curiaca,nudo de caña.
canù mi cjoa,bloque de panela.
canù ñami,anoche.
canùcù,caña de azúcar. Saccharum officinarum L.
canùpùcã,hace pocos días.
canùre,ayer.
capa,semilla.
capa bùjùriro,"alguien flojo, perezoso."
capa marieriro,alguien que no es perezoso (que trabaja mucho).
capa pjoa,pestaña.
capa pjoã da,capa pjoeni da s.inan. ceja.
capa suhti cahsaro,párpado.
capahñùno,"yù capahñùno) s.m. cuñado. 3a pers. to capahñùno. V. bujibùhù, pahñùno, tañù."
capara,"no responder, no obedecer. 50"
capari bajuerariro,"miope, él que es corto de vista."
capari ñinia,retina.
capari ñù bocaerariro,"miope, él que es corto de vista. pl. capari ñù bocaeraina. s.f. capari ñù bocaeraricoro. sinón. capari bajuerariro. V. capari ñùerariro."
capari ñùerariro,"capari ñùeriro s.m. ciego. pl. capari ñùeraina. s.f. capari ñùeraricoro. V. capari bajuerariro, capari ñù bocaerariro."
capari sohã,"ceguera, conjuntivitis."
capari wihmitiahna,parpadear.
capariaca,ojo.
capariacare bùcùari cahsaro,catarata del ojo.
capitã,capitán.
cara,doler.
caraca,"gallo, pollo, gallina. F. Phasianidae, Gallus gallus."
caraca die cûricoro,gallina ponedera. pl. caraca die cûa numia. sinón. die cûricoro.
caraca dieca puhichapù sohãno,yema del huevo. 51
caraca dieca puhichapù yehsea,clara del huevo.
caraca pohoa,varicela.
caraca wùhù,gallinero.
caracacoro,gallina.
carericoro,"mujer coqueta, coquetona."
cariboa,travesuras.
caribora,molestar.
cariputira,molestarse.
cariputiro marieno,"con calma, en paz, sin molestarse. lit. sin molestia."
carisu,"carrizo, flauta de caña de carrizo (instrumento musical elaborado de cañas de diferentes larguras)."
carî chùri cuhtu,campamento.
carî tinini cuhtu,campamento. pl. carî tinia cuhturi. sinón. carî chùri cuhtu. V.pal.prin. cuhtu. V. wùhù cuhtu.
carî tinini wùhùcã,ranchito (cuando está cazando o pescando).
carîhti cuhtu,desmonte (donde hacer un campamento).
carîhti cuhture yoara,acampar.
carîhto,"hospedaje, posada. sinón. carîno. carîhto WananoEspañol 52"
carîna,1 dormir. 2 alojarse.
carîni casario,"cama. pl. carîa casaripo, carîni casapo. sinón. coãri casario. V.pal.prin. casario."
carîni tahtia,"alcoba, dormitorio."
carîni wahwa,cuna.
carîno,"hospedaje, posada."
carîno wara,alojar.
caro,"1 caja, maleta, baúl. 2 algo cuadrado, cuadrada. gram. Por lo general, esta palabra occure con otra palabra modificadora. pl. pjaa carori, pjaa caapoca, caapoca. V. pari caro, caro sohtoa."
caro sohtoa,esquina (de una caja). pl. caapoca sohtoari. V.pal.prin. sohtoa.
caruwera,hacer mucho ruido.
casa chùra,comer (con otra cosa).
casaca,trampa de pescado (como el matapí).
casario,1 balsa. 2 mesa. 3 piso.
casîpoca,"casîa s.an.pl. cucarachas. F. Blattidae, Periplaneta americana."
Cata,río Cuduiarí. 53 Cuduiarí queda cerquita abajo de Mitú.
cata,pava rajadora. Pipile pipile.
catamaja,"pavo, pájaro úquira, pava llanera. Penelope jacquacu."
cataro,tiesto (plato grande de barro para tostar una torta de mandioca).
cati bohreara,trasnochar.
cati dutira,preservar.
catia,"1 vida. 2 espíritu (de una persona). 3 crudo, cruda."
catira,"1 vivir, tener vida; estar vivo, viva. 2 quedar despierto, despierta."
catiriro,1 alguien vivo. 2 alguien despierto.
catisinina,estar todavía infectado.
cawalu,caballo. Equis caballus.
cawiri,"pez blanquillo, tipo de sardina. Hemiodopsis gracilis sp."
cayora,"1 imitar, remedar. 54 2 probar."
cãa,"algunos, algunas; varios, varias."
cãa tahari,"a ratos, a veces, de vez en cuando, varias veces."
cãa yahparipù,internacional.
cãù,pájaro cacao avispero. Daptrius americanus.
cien cùhmari,siglo.
co,"1 agua. 2 jugo. 3 líquido, jarabe. 4 medicina, remedio."
co besera,botar (agua de la canoa).
co beseria,achicador.
co boraro,"salto de agua, caída de agua."
co dasa,"pato aguja, cotúa agujita. Anhinga anhinga."
co duari wùhù,farmacia.
co dùcatari cahsaro,"impermeable (una lámina). 55 wijinocahna. Esta carpa no es impermeable. Cuando llueve, le entra agua. pl. co dùcùtaa cahsari. sinón. cori cahsaro, mohari cahsaro. V.pal.prin. cahsaro. V. pari cahsaro."
co mehne wahpo dapora,aguar.
co mori da,tubo de agua. pl. co moa dari. sinón. co wahari da.
co nehneno,aguadero (para animales silvestres).
co nujuri taro,"charco, poza."
co ñahari suhtiro,vela de un barco. lit. carpa que coge el viento. pl. co ñahaa suhti. sinón. wihnonore ñahari cahsaro.
Co Ñinia,río Papurí.
co ñùweri ma,caño con agua transparente.
co pio namona,diluir.
co pohna,estela. V.pal.prin. pari pohna. V. bùsoca co pohna.
co posa tiria,jarra.
co puti siteroa,pl. delfines.
co sitira,"1 estar acuoso, acuosa. 2 ser translúcido, translúcida; transparente."
co suru sãahna,"poner gotas, gotear."
co tiãna,"ser correntoso, correntosa."
co tiãno,corriente del río. 56
co tichù yoara1,humedecer.
co tichù yoara2,conseguir remedio.
co tira1,"1 ser enlagunado. 2 ser acuoso, acuosa; jugoso, jugosa. 1."
co tira2,conseguir tratamiento (un enfermo).
co waara1,"estar mojado, mojada."
co waara2,"curar, tratar una enfermedad."
co wahari da,tubo de agua.
